date,airline,flights_scheduled,cancelled_flights,weather_condition,weekday,month,holiday_season,high_demand_month,extreme_weather_day,delayed_flights,average_flight_duration,airport_traffic,maintenance_day
1999-01-01,Airline A,152,10,storm,4,1,0,0,0,37,3.371369697062548,3937,0
1999-01-02,Airline A,229,0,storm,5,1,0,0,1,4,3.440796749772029,2223,1
1999-01-03,Airline A,142,15,storm,6,1,0,0,1,1,3.872668662545912,1164,0
1999-01-04,Airline A,64,12,rain,0,1,0,0,0,37,4.000211720907608,2040,0
1999-01-05,Airline A,156,5,snow,1,1,0,0,0,23,3.0326660654532156,3793,0
1999-01-06,Airline A,121,5,clear,2,1,0,0,0,47,3.5917918480649984,4632,0
1999-01-07,Airline A,238,9,storm,3,1,0,0,1,47,3.7854415017299887,2996,0
1999-01-08,Airline A,70,1,snow,4,1,0,0,1,38,1.6298294409831793,2145,0
1999-01-09,Airline A,152,2,rain,5,1,0,0,0,34,2.2150291524745453,1947,0
1999-01-10,Airline A,171,5,snow,6,1,1,0,0,26,4.576766800559711,1194,0
1999-01-11,Airline A,260,15,clear,0,1,0,0,1,27,1.9593781104707624,3784,0
1999-01-12,Airline A,264,5,storm,1,1,0,0,1,18,3.550141358785296,3174,0
1999-01-13,Airline A,124,12,clear,2,1,0,0,0,39,1.214413598093563,1541,0
1999-01-14,Airline A,252,3,rain,3,1,0,0,0,2,4.292229166553042,3386,0
1999-01-15,Airline A,137,14,clear,4,1,0,0,1,13,3.366999145211856,1416,0
1999-01-16,Airline A,166,5,rain,5,1,1,0,1,30,3.0194273792616615,2396,0
1999-01-17,Airline A,149,0,clear,6,1,0,0,1,35,3.9651265496069277,2809,0
1999-01-18,Airline A,153,8,rain,0,1,0,0,0,5,4.0502189886871705,4636,0
1999-01-19,Airline A,201,11,snow,1,1,0,0,1,36,1.9851626747930995,1948,0
1999-01-20,Airline A,180,10,snow,2,1,0,0,1,21,4.903268182776799,1519,0
1999-01-21,Airline A,199,12,snow,3,1,1,0,0,24,4.646211789452817,2088,0
1999-01-22,Airline A,102,0,snow,4,1,0,0,1,28,1.8489155139432563,2814,0
1999-01-23,Airline A,51,18,clear,5,1,0,0,1,24,2.3120162205011168,3818,0
1999-01-24,Airline A,137,3,fog,6,1,0,0,1,1,2.500237905378408,2055,0
1999-01-25,Airline A,285,4,rain,0,1,1,0,0,44,4.134466547827953,4923,0
1999-01-26,Airline A,207,16,rain,1,1,0,0,0,34,2.336067473322491,2978,0
1999-01-27,Airline A,87,4,fog,2,1,0,0,0,18,3.676676326408771,3471,0
1999-01-28,Airline A,179,18,rain,3,1,0,0,0,4,3.6314452569085645,2206,0
1999-01-29,Airline A,241,2,rain,4,1,1,0,0,32,3.2634156571324566,3884,0
1999-01-30,Airline A,237,10,snow,5,1,0,0,0,26,3.4823639601646588,4422,0
1999-01-31,Airline A,70,1,rain,6,1,0,0,0,17,1.9087269231535746,4414,0
1999-02-01,Airline A,210,13,rain,0,2,0,0,0,4,1.6095972392628894,2499,0
1999-02-02,Airline A,253,5,storm,1,2,0,0,1,7,2.3443321851705687,4019,0
1999-02-03,Airline A,107,18,rain,2,2,0,0,1,40,2.9528054781486173,4017,0
1999-02-04,Airline A,71,0,fog,3,2,0,0,0,43,3.133595981802144,3973,0
1999-02-05,Airline A,285,6,rain,4,2,0,0,0,18,1.6949410460601775,3011,0
1999-02-06,Airline A,138,1,fog,5,2,0,0,0,10,3.802313529286587,3800,0
1999-02-07,Airline A,98,18,rain,6,2,0,0,1,33,1.3883767621677432,2797,0
1999-02-08,Airline A,268,0,fog,0,2,0,0,0,15,4.947383721605689,4874,0
1999-02-09,Airline A,108,8,rain,1,2,0,0,1,17,4.163838817535962,3191,0
1999-02-10,Airline A,219,16,rain,2,2,0,0,0,33,4.608212049628516,1951,0
1999-02-11,Airline A,269,9,storm,3,2,1,0,0,11,2.853092101278201,2355,0
1999-02-12,Airline A,237,5,storm,4,2,0,0,0,11,4.815434085227542,4875,0
1999-02-13,Airline A,257,2,rain,5,2,0,0,1,25,4.937165164674107,4982,0
1999-02-14,Airline A,64,19,storm,6,2,0,0,0,28,2.8990021582985235,2474,0
1999-02-15,Airline A,239,14,clear,0,2,1,0,0,8,4.347980191692468,1698,0
1999-02-16,Airline A,239,19,clear,1,2,0,0,1,45,3.6829391536404157,4030,0
1999-02-17,Airline A,224,5,snow,2,2,0,0,1,29,1.810620289791967,3640,0
1999-02-18,Airline A,239,2,snow,3,2,0,0,0,36,2.61222488328903,3661,0
1999-02-19,Airline A,100,9,clear,4,2,0,0,1,10,3.8665935705984866,1445,0
1999-02-20,Airline A,157,11,snow,5,2,0,0,0,10,1.627262781973871,1782,0
1999-02-21,Airline A,104,0,rain,6,2,0,0,0,31,2.2885557013602886,1855,0
1999-02-22,Airline A,293,15,rain,0,2,0,0,1,43,2.3138828696258384,3738,0
1999-02-23,Airline A,113,16,snow,1,2,0,0,1,19,2.663995076050743,4423,0
1999-02-24,Airline A,298,9,clear,2,2,1,0,1,47,1.0012071080688298,4385,0
1999-02-25,Airline A,180,11,fog,3,2,0,0,0,41,2.208404855452566,2999,0
1999-02-26,Airline A,278,18,rain,4,2,1,0,0,35,1.8383249760616671,2374,0
1999-02-27,Airline A,100,7,storm,5,2,0,0,0,38,4.758109153381575,1689,0
1999-02-28,Airline A,184,7,fog,6,2,0,0,0,42,4.338255059321222,2133,0
1999-03-01,Airline A,70,9,storm,0,3,0,0,1,45,3.105323303158661,4043,0
1999-03-02,Airline A,122,9,rain,1,3,0,0,1,14,1.3633525333198042,2841,0
1999-03-03,Airline A,216,17,snow,2,3,0,0,0,45,4.78660879397333,2712,0
1999-03-04,Airline A,67,9,storm,3,3,0,0,1,1,2.565716545782753,1453,0
1999-03-05,Airline A,181,6,clear,4,3,1,0,1,48,4.077956062449315,4212,0
1999-03-06,Airline A,138,3,storm,5,3,0,0,0,30,1.9033193523775704,1252,0
1999-03-07,Airline A,109,0,clear,6,3,1,0,0,4,3.518466016749122,1779,0
1999-03-08,Airline A,63,10,fog,0,3,0,0,1,48,2.7556045382610646,2870,0
1999-03-09,Airline A,291,18,fog,1,3,0,0,0,24,3.02824662036931,2509,0
1999-03-10,Airline A,299,4,snow,2,3,0,0,0,34,1.808029291042109,2753,0
1999-03-11,Airline A,58,7,clear,3,3,0,0,0,47,4.489927015434734,2006,0
1999-03-12,Airline A,139,1,snow,4,3,1,0,0,27,3.7527350435052718,3960,0
1999-03-13,Airline A,102,1,storm,5,3,0,0,1,39,2.6368614326714748,1050,0
1999-03-14,Airline A,179,13,snow,6,3,0,0,0,10,2.465587670337356,3330,0
1999-03-15,Airline A,133,8,storm,0,3,0,0,1,48,1.2293223662575254,3855,0
1999-03-16,Airline A,141,9,fog,1,3,0,0,1,0,2.578579955092486,2065,0
1999-03-17,Airline A,160,12,snow,2,3,0,0,1,37,1.908214136215491,3445,0
1999-03-18,Airline A,237,0,fog,3,3,0,0,1,18,4.366274255221278,1865,0
1999-03-19,Airline A,248,13,storm,4,3,0,0,0,49,2.1867188712294445,3990,0
1999-03-20,Airline A,221,1,clear,5,3,1,0,1,26,3.32831693066225,2606,0
1999-03-21,Airline A,57,3,rain,6,3,0,0,0,18,3.592201468502918,2242,0
1999-03-22,Airline A,224,18,storm,0,3,0,0,0,2,3.4474071355465092,2006,0
1999-03-23,Airline A,84,0,storm,1,3,0,0,0,3,3.482370772104731,4505,0
1999-03-24,Airline A,255,3,rain,2,3,0,0,1,41,4.149412556819195,2665,0
1999-03-25,Airline A,130,10,rain,3,3,0,0,1,3,2.7693974283839586,1527,0
1999-03-26,Airline A,213,12,fog,4,3,0,0,0,14,1.6229396051996394,1130,0
1999-03-27,Airline A,99,17,storm,5,3,0,0,1,29,2.979303703157298,1561,0
1999-03-28,Airline A,153,9,storm,6,3,0,0,1,0,1.0575591354351794,1188,0
1999-03-29,Airline A,181,4,snow,0,3,0,0,0,32,3.908487020555949,2218,0
1999-03-30,Airline A,51,0,rain,1,3,0,0,0,7,1.384042054462216,2737,0
1999-03-31,Airline A,183,13,clear,2,3,0,0,0,21,2.130627197948435,2321,0
1999-04-01,Airline A,103,15,storm,3,4,1,0,1,4,2.4105633450906807,4611,0
1999-04-02,Airline A,155,17,snow,4,4,1,0,0,16,4.4176148480307305,2326,0
1999-04-03,Airline A,53,2,clear,5,4,0,0,0,31,4.07688685071616,3530,0
1999-04-04,Airline A,103,2,fog,6,4,0,0,1,8,4.4609712040468645,4823,0
1999-04-05,Airline A,270,3,snow,0,4,0,0,0,12,4.974877629903436,1546,0
1999-04-06,Airline A,240,6,clear,1,4,0,0,0,39,3.2701147035165463,3914,0
1999-04-07,Airline A,195,12,storm,2,4,1,0,0,45,1.5804484173004392,3068,0
1999-04-08,Airline A,267,8,snow,3,4,1,0,1,14,2.990033801911326,3290,0
1999-04-09,Airline A,93,2,rain,4,4,0,0,0,20,4.405396701755371,4405,0
1999-04-10,Airline A,211,16,clear,5,4,1,0,0,14,2.1880651857000455,4553,0
1999-04-11,Airline A,251,14,storm,6,4,0,0,0,15,3.3051705937306077,3852,0
1999-04-12,Airline A,239,9,snow,0,4,0,0,0,1,1.623369655584495,4680,0
1999-04-13,Airline A,277,14,clear,1,4,0,0,0,25,1.6181292386134567,2250,0
1999-04-14,Airline A,63,0,fog,2,4,0,0,1,43,3.4097721280168884,2512,0
1999-04-15,Airline A,144,9,fog,3,4,0,0,0,41,4.7789682900205905,4988,0
1999-04-16,Airline A,97,6,rain,4,4,0,0,1,22,2.0372326052187906,3745,0
1999-04-17,Airline A,64,6,snow,5,4,0,0,0,32,3.7321638925432463,2935,0
1999-04-18,Airline A,249,2,snow,6,4,0,0,0,43,4.13507476903162,3225,0
1999-04-19,Airline A,255,6,rain,0,4,0,0,0,38,2.0340221448517584,1773,0
1999-04-20,Airline A,264,8,snow,1,4,0,0,1,45,1.9636002603166731,1501,0
1999-04-21,Airline A,298,7,fog,2,4,0,0,0,45,4.21733628552618,1129,0
1999-04-22,Airline A,239,2,fog,3,4,1,0,0,14,1.2834393378903468,1658,0
1999-04-23,Airline A,89,4,rain,4,4,0,0,0,20,2.302123276369411,1608,0
1999-04-24,Airline A,262,12,storm,5,4,0,0,0,3,3.0943164377386343,3727,0
1999-04-25,Airline A,257,12,rain,6,4,1,0,0,36,2.076437421283534,1519,0
1999-04-26,Airline A,286,7,fog,0,4,0,0,1,4,1.407940865293913,2555,0
1999-04-27,Airline A,131,17,rain,1,4,0,0,1,32,4.590012562513358,1019,0
1999-04-28,Airline A,160,6,fog,2,4,0,0,0,27,2.8087584417810754,4883,0
1999-04-29,Airline A,102,9,storm,3,4,0,0,1,7,1.6551284261105708,3414,0
1999-04-30,Airline A,73,9,fog,4,4,0,0,0,21,4.885021946108758,2771,0
1999-05-01,Airline A,203,10,snow,5,5,0,0,1,8,4.621500198287066,3723,0
1999-05-02,Airline A,266,11,clear,6,5,0,0,1,15,2.0998253220152936,2426,0
1999-05-03,Airline A,237,12,storm,0,5,0,0,1,43,1.1496492372151144,2185,0
1999-05-04,Airline A,173,7,clear,1,5,0,0,0,32,2.2964180676845425,4375,0
1999-05-05,Airline A,286,16,storm,2,5,1,0,1,41,1.4104538661319035,4424,0
1999-05-06,Airline A,90,13,storm,3,5,0,0,1,44,2.75121288363536,2797,0
1999-05-07,Airline A,206,16,storm,4,5,1,0,1,4,3.260274336730474,4253,0
1999-05-08,Airline A,64,18,storm,5,5,0,0,1,11,1.2390712216364466,3918,0
1999-05-09,Airline A,94,15,fog,6,5,0,0,0,42,4.912097924213533,3529,0
1999-05-10,Airline A,114,8,snow,0,5,0,0,1,37,2.989190643125455,4189,0
1999-05-11,Airline A,138,19,fog,1,5,0,0,0,49,3.613873219559761,1789,0
1999-05-12,Airline A,120,9,fog,2,5,0,0,0,21,2.059314743218089,2239,0
1999-05-13,Airline A,58,8,snow,3,5,1,0,0,2,3.397982806619138,1062,0
1999-05-14,Airline A,137,0,storm,4,5,0,0,1,41,2.9157664985318203,3196,0
1999-05-15,Airline A,178,2,snow,5,5,0,0,1,36,4.423440135357431,2874,0
1999-05-16,Airline A,285,10,clear,6,5,0,0,0,43,1.8654470004767396,4875,0
1999-05-17,Airline A,185,6,snow,0,5,0,0,1,2,1.0125140597477218,3990,0
1999-05-18,Airline A,265,17,fog,1,5,1,0,1,48,1.7195314674464113,3876,0
1999-05-19,Airline A,112,12,storm,2,5,0,0,0,6,1.9018292133440866,3548,0
1999-05-20,Airline A,188,17,fog,3,5,0,0,0,11,2.75725097460124,2819,0
1999-05-21,Airline A,292,15,clear,4,5,0,0,0,46,2.506475850398714,3419,1
1999-05-22,Airline A,130,15,storm,5,5,0,0,1,10,2.0988948991643808,4163,0
1999-05-23,Airline A,185,9,rain,6,5,0,0,0,0,2.1604364216601715,2419,1
1999-05-24,Airline A,212,8,fog,0,5,0,0,0,4,1.820592370557995,4885,0
1999-05-25,Airline A,212,7,fog,1,5,1,0,0,22,1.3065904927014582,2884,0
1999-05-26,Airline A,82,18,snow,2,5,0,0,0,45,4.100110651522458,4997,0
1999-05-27,Airline A,172,2,storm,3,5,0,0,0,18,1.1395445394466766,3271,0
1999-05-28,Airline A,54,8,fog,4,5,0,0,1,7,3.5049171225433575,3693,0
1999-05-29,Airline A,283,1,clear,5,5,1,0,1,12,4.447683841963563,2856,0
1999-05-30,Airline A,280,18,storm,6,5,0,0,1,45,2.5009301760676577,1123,0
1999-05-31,Airline A,299,7,storm,0,5,0,0,0,41,3.418301699013971,4492,0
1999-06-01,Airline A,90,17,snow,1,6,1,1,1,12,3.504214442006033,4151,0
1999-06-02,Airline A,77,7,fog,2,6,0,1,1,23,1.482433860807633,2272,0
1999-06-03,Airline A,184,4,fog,3,6,0,1,0,42,1.8878069196839027,4923,0
1999-06-04,Airline A,250,5,rain,4,6,0,1,0,10,1.835174535712155,3510,0
1999-06-05,Airline A,121,9,rain,5,6,1,1,1,31,1.4457203450896126,4966,0
1999-06-06,Airline A,61,14,storm,6,6,1,1,0,27,3.652154799051415,3058,0
1999-06-07,Airline A,211,3,fog,0,6,1,1,0,2,2.843991102156672,1556,0
1999-06-08,Airline A,82,2,snow,1,6,0,1,0,27,2.493725576551114,2127,0
1999-06-09,Airline A,97,8,fog,2,6,0,1,0,38,4.460010029565094,3863,0
1999-06-10,Airline A,296,15,snow,3,6,1,1,0,18,4.791436930041797,4496,0
1999-06-11,Airline A,200,15,rain,4,6,0,1,1,44,2.9610715279519724,4623,0
1999-06-12,Airline A,111,14,clear,5,6,0,1,0,14,4.3746766557926104,2904,0
1999-06-13,Airline A,265,8,fog,6,6,0,1,0,5,4.657668015775332,2754,0
1999-06-14,Airline A,86,16,rain,0,6,0,1,0,24,2.242092355975882,1680,1
1999-06-15,Airline A,148,11,clear,1,6,0,1,0,46,1.0874426264550539,4727,0
1999-06-16,Airline A,221,7,clear,2,6,0,1,0,29,3.9018302311836037,4235,0
1999-06-17,Airline A,153,13,rain,3,6,0,1,0,4,2.1944936796707135,1211,0
1999-06-18,Airline A,263,17,rain,4,6,0,1,0,41,1.093530044681223,3014,0
1999-06-19,Airline A,268,11,rain,5,6,0,1,0,1,2.6015395824204943,4108,0
1999-06-20,Airline A,84,13,snow,6,6,1,1,0,22,2.927864085640976,1462,0
1999-06-21,Airline A,242,19,storm,0,6,0,1,1,20,2.5767360549910503,2654,0
1999-06-22,Airline A,276,4,storm,1,6,0,1,0,4,2.1039583491952,2264,0
1999-06-23,Airline A,150,0,storm,2,6,0,1,0,42,4.43114302945523,3242,0
1999-06-24,Airline A,224,12,snow,3,6,0,1,0,30,3.035418068533812,2304,0
1999-06-25,Airline A,255,13,rain,4,6,0,1,0,25,4.160268075574805,3066,0
1999-06-26,Airline A,180,1,storm,5,6,0,1,0,13,2.3484792718364518,2126,0
1999-06-27,Airline A,50,15,snow,6,6,0,1,1,33,2.2136320332881176,3214,0
1999-06-28,Airline A,54,4,snow,0,6,0,1,1,25,4.203909444279281,2401,0
1999-06-29,Airline A,267,0,rain,1,6,0,1,0,42,4.633260432754434,2750,0
1999-06-30,Airline A,296,11,clear,2,6,0,1,0,40,3.9140782755909065,1176,0
1999-07-01,Airline A,191,18,snow,3,7,0,1,0,9,2.3558651347290525,2559,0
1999-07-02,Airline A,152,9,fog,4,7,0,1,0,36,4.7597311432549585,4711,0
1999-07-03,Airline A,76,11,snow,5,7,0,1,0,36,3.9867164615315636,2753,0
1999-07-04,Airline A,186,18,clear,6,7,0,1,1,16,3.4497783570684084,2487,0
1999-07-05,Airline A,256,15,clear,0,7,0,1,0,19,3.0764973919158556,2365,0
1999-07-06,Airline A,64,16,fog,1,7,1,1,0,41,3.537385781052404,1793,0
1999-07-07,Airline A,139,12,storm,2,7,0,1,0,5,1.1689716724983406,4066,0
1999-07-08,Airline A,91,6,snow,3,7,0,1,0,15,3.605541391063235,1621,0
1999-07-09,Airline A,173,2,rain,4,7,0,1,0,43,2.1511489325672275,3253,1
1999-07-10,Airline A,254,4,rain,5,7,0,1,0,39,2.6274998945338943,4372,0
1999-07-11,Airline A,228,3,fog,6,7,1,1,1,49,3.3175498937373136,2671,0
1999-07-12,Airline A,112,14,clear,0,7,0,1,0,30,2.2019004949371874,3456,0
1999-07-13,Airline A,145,16,storm,1,7,0,1,1,35,1.7927237552205089,3978,0
1999-07-14,Airline A,280,11,snow,2,7,0,1,1,1,1.8430016177010349,1808,0
1999-07-15,Airline A,290,13,snow,3,7,0,1,1,32,4.883309151120058,1322,0
1999-07-16,Airline A,101,3,snow,4,7,0,1,1,10,1.6118683073442037,2171,0
1999-07-17,Airline A,145,16,rain,5,7,1,1,1,33,3.986649852037555,3353,0
1999-07-18,Airline A,181,10,storm,6,7,0,1,0,39,4.741429057668364,2374,0
1999-07-19,Airline A,271,5,fog,0,7,0,1,1,13,4.576935092225153,4569,0
1999-07-20,Airline A,278,3,rain,1,7,0,1,0,12,3.1555870042600493,4038,0
1999-07-21,Airline A,200,12,clear,2,7,0,1,0,41,2.483333959953263,2272,0
1999-07-22,Airline A,280,19,storm,3,7,0,1,0,23,2.9062388519931264,2409,0
1999-07-23,Airline A,286,14,clear,4,7,0,1,1,12,1.0860579714862935,4788,0
1999-07-24,Airline A,192,17,snow,5,7,0,1,0,7,3.6858914704141403,1691,0
1999-07-25,Airline A,220,16,rain,6,7,0,1,0,33,3.4310478460790317,2480,0
1999-07-26,Airline A,78,18,storm,0,7,0,1,0,13,2.7140479386456566,1598,0
1999-07-27,Airline A,85,9,rain,1,7,0,1,1,48,4.900721005085119,4648,0
1999-07-28,Airline A,62,4,storm,2,7,0,1,0,17,1.6929683271261795,2042,0
1999-07-29,Airline A,209,11,snow,3,7,0,1,1,29,3.32734287935395,2833,0
1999-07-30,Airline A,120,14,storm,4,7,0,1,0,26,3.234478052086449,3185,0
1999-07-31,Airline A,236,3,snow,5,7,0,1,0,39,1.4309001919170559,3524,0
1999-08-01,Airline A,292,7,rain,6,8,0,0,0,29,2.895993227724575,1466,0
1999-08-02,Airline A,135,19,rain,0,8,0,0,0,4,1.1924462019136906,2235,0
1999-08-03,Airline A,77,16,rain,1,8,0,0,0,20,2.6993940903474765,3610,0
1999-08-04,Airline A,115,5,snow,2,8,1,0,0,14,1.072105659612586,1253,0
1999-08-05,Airline A,219,15,clear,3,8,0,0,0,47,1.5985884019146188,1976,0
1999-08-06,Airline A,94,4,clear,4,8,0,0,1,15,2.843558656014869,3843,0
1999-08-07,Airline A,111,13,storm,5,8,0,0,0,0,3.9860917744911486,4134,0
1999-08-08,Airline A,234,1,rain,6,8,0,0,1,16,3.0248999122776365,2643,0
1999-08-09,Airline A,294,16,clear,0,8,0,0,1,29,3.123218032386318,4960,0
1999-08-10,Airline A,183,5,fog,1,8,0,0,0,7,2.5194854293202464,2487,0
1999-08-11,Airline A,77,10,rain,2,8,0,0,0,9,3.417378342175401,4147,0
1999-08-12,Airline A,77,1,fog,3,8,1,0,0,18,4.281971177463211,3067,0
1999-08-13,Airline A,157,0,clear,4,8,0,0,1,18,4.631213927084694,1531,0
1999-08-14,Airline A,93,4,snow,5,8,0,0,0,19,4.9751511654639184,2608,0
1999-08-15,Airline A,133,7,fog,6,8,0,0,1,10,4.008299807559289,3004,0
1999-08-16,Airline A,79,3,fog,0,8,0,0,1,31,1.456550169108497,1495,0
1999-08-17,Airline A,239,18,rain,1,8,0,0,0,31,1.585861593743513,1467,0
1999-08-18,Airline A,124,4,storm,2,8,0,0,0,11,2.9928931169893445,2664,0
1999-08-19,Airline A,177,4,snow,3,8,1,0,0,12,3.701349487488026,2871,0
1999-08-20,Airline A,299,15,rain,4,8,0,0,0,21,1.5127739679862748,1654,0
1999-08-21,Airline A,296,17,rain,5,8,0,0,0,46,2.5925447280391896,4507,0
1999-08-22,Airline A,141,10,clear,6,8,0,0,0,49,3.33150948990078,1606,0
1999-08-23,Airline A,266,16,storm,0,8,0,0,1,44,1.8012111025739048,2370,0
1999-08-24,Airline A,280,2,storm,1,8,0,0,0,28,3.796342880462888,3904,0
1999-08-25,Airline A,239,17,snow,2,8,0,0,1,35,2.354669810185995,3826,0
1999-08-26,Airline A,274,3,snow,3,8,0,0,1,4,2.085463108842677,3400,0
1999-08-27,Airline A,178,18,storm,4,8,0,0,0,24,1.292036789561402,4298,0
1999-08-28,Airline A,170,8,fog,5,8,1,0,1,3,3.730088907996869,2023,0
1999-08-29,Airline A,76,4,fog,6,8,0,0,1,35,1.8677442558967692,3285,0
1999-08-30,Airline A,239,3,rain,0,8,0,0,0,24,1.4751669176618853,2278,0
